step,time,temp,pressure,density,volume
4700,23.5,1.85409932941961,0.262646539563048,0.160624746025305,3112.84538884955
4800,24,1.93111108842132,0.253308794531816,0.160624746025305,3112.84538884955
4900,24.5,2.02635785100721,0.311447849118131,0.160624746025305,3112.84538884955
5000,25,2.07133510727973,0.314827886065007,0.160624746025305,3112.84538884955
5100,25.5,2.08486392469658,0.327153723028172,0.160624746025305,3112.84538884955
5200,26,2.03428419448116,0.298917163592705,0.160624746025305,3112.84538884955
5300,26.5,1.97887163469978,0.285083405519603,0.160624746025305,3112.84538884955
5400,27,1.94645071271426,0.297388923628895,0.160624746025305,3112.84538884955
5500,27.5,1.9213558418214,0.314203240268402,0.160624746025305,3112.84538884955
5600,28,1.9201040384908,0.292457756374959,0.160624746025305,3112.84538884955
5700,28.5,1.963799193452,0.358731373871568,0.160624746025305,3112.84538884955
5800,29,2.11022906932267,0.342648955415671,0.160624746025305,3112.84538884955
5900,29.5,2.18327258505109,0.287702754981253,0.160624746025305,3112.84538884955
6000,30,2.16102110083707,0.32826591772055,0.160624746025305,3112.84538884955
6100,30.5,2.06009903082827,0.26905044297256,0.160624746025305,3112.84538884955
6200,31,1.9979692465892,0.245995147384054,0.160624746025305,3112.84538884955
6300,31.5,1.98180061763122,0.253198205882086,0.160624746025305,3112.84538884955
6400,32,1.98021155314051,0.287685119007147,0.160624746025305,3112.84538884955
6500,32.5,2.01446954880202,0.252774302027175,0.160624746025305,3112.84538884955
6600,33,2.00470579791888,0.314157823292928,0.160624746025305,3112.84538884955
6700,33.5,2.03868806351008,0.278138899055666,0.160624746025305,3112.84538884955
6800,34,2.05371348332354,0.331910621024665,0.160624746025305,3112.84538884955
6900,34.5,2.05963407703034,0.317470806192772,0.160624746025305,3112.84538884955
7000,35,2.00504091971155,0.346207891787005,0.160624746025305,3112.84538884955
7100,35.5,2.0270813236331,0.300170438277628,0.160624746025305,3112.84538884955
7200,36,1.94888641338894,0.276774316772263,0.160624746025305,3112.84538884955
7300,36.5,1.94350688540251,0.24698572268521,0.160624746025305,3112.84538884955
7400,37,1.90930802693896,0.290771296080169,0.160624746025305,3112.84538884955
7500,37.5,1.96365763020098,0.307962876479695,0.160624746025305,3112.84538884955
7600,38,2.04471848674453,0.276455797069523,0.160624746025305,3112.84538884955
7700,38.5,2.11992049587028,0.31056982793947,0.160624746025305,3112.84538884955
7800,39,2.12932278571585,0.295683584594002,0.160624746025305,3112.84538884955
7900,39.5,2.06137976082515,0.305065675777049,0.160624746025305,3112.84538884955
8000,40,2.00243669529986,0.306083239504614,0.160624746025305,3112.84538884955
8100,40.5,1.94510256998417,0.316399378075887,0.160624746025305,3112.84538884955
8200,41,1.97006381489953,0.305607549805676,0.160624746025305,3112.84538884955
8300,41.5,1.97606006841388,0.262340608919547,0.160624746025305,3112.84538884955
